Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1998,0.62,1.04,0.71,0.87,0.66,0.73,0.75,0.72,0.61,0.54,0.49,0.74,0.71,0.69,0.72,0.75,0.73,0.55
1999,0.59,1,0.29,0.54,0.36,0.35,0.36,0.3,0.4,0.39,0.53,0.66,0.48,0.49,0.78,0.39,0.34,0.44
2000,0.38,0.89,0.83,0.88,0.54,0.44,0.42,0.47,0.37,0.29,0.2,0.27,0.5,0.53,0.64,0.75,0.44,0.28
2001,0.56,0.45,0.76,0.6,0.69,0.52,0.64,0.68,0.56,0.6,0.98,0.66,0.64,0.61,0.43,0.68,0.61,0.71
2002,1.02,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.54,0.79,0.42,0.71,0.73,0.94,0.71,0.63,0.65
2003,0.93,0.56,0.67,0.61,0.72,0.54,0.68,0.86,0.78,0.99,0.66,0.99,0.75,0.7,0.64,0.66,0.7,0.81
2004,0.67,0.92,0.87,0.7,0.52,0.47,0.49,0.55,0.6,0.7,0.99,0.45,0.66,0.7,0.86,0.7,0.5,0.76
2005,0.94,0.72,0.94,0.92,0.78,0.79,0.75,0.69,0.9,0.95,1.06,0.84,0.86,0.82,0.7,0.88,0.74,0.97
2006,0.65,0.95,0.78,0.59,0.75,0.81,0.69,0.69,0.82,0.96,0.95,1.16,0.82,0.79,0.81,0.71,0.73,0.91
2007,1.45,0.9,0.96,1.07,0.72,0.65,0.66,0.73,0.67,0.84,0.82,0.77,0.85,0.89,1.17,0.92,0.68,0.78
2008,0.34,0.59,1.14,0.65,0.6,0.62,0.6,0.6,0.58,0.86,0.97,0.66,0.68,0.69,0.56,0.8,0.61,0.8
2009,0.83,0.7,0.6,0.7,0.66,0.68,0.68,0.72,0.85,0.79,0.85,0.67,0.73,0.73,0.73,0.66,0.7,0.83
2010,0.81,0.94,1.1,1.13,0.94,0.85,0.89,0.87,0.71,0.89,1.21,0.5,0.9,0.92,0.81,1.06,0.87,0.94
2011,0.61,0.57,0.88,0.85,0.66,0.76,0.73,0.71,0.74,0.91,0.66,0.88,0.75,0.71,0.56,0.79,0.73,0.77
2012,0.67,0.59,0.72,1.07,0.97,0.94,0.85,0.76,0.86,0.91,0.98,0.46,0.81,0.85,0.71,0.92,0.85,0.92
2013,0.86,0.79,0.81,0.68,0.78,0.77,0.7,0.73,0.7,0.83,1.13,0.83,0.8,0.77,0.7,0.76,0.73,0.89
2014,0.97,0.71,1.2,1.08,0.9,0.81,0.76,0.89,0.83,0.93,0.79,1.1,0.91,0.89,0.84,1.06,0.82,0.85
2015,1.19,1.18,1.32,1.03,1.04,1.05,0.92,1.01,1.16,1.29,1.37,1.53,1.17,1.14,1.16,1.13,0.99,1.28
2016,1.55,1.93,1.91,1.49,1.11,1.12,1.04,1.11,1.22,1.03,1.11,1.03,1.3,1.35,1.67,1.5,1.09,1.12
2017,1.39,1.5,1.51,1.2,0.92,0.93,0.96,1.01,1,1.05,1.23,1.4,1.18,1.14,1.31,1.21,0.97,1.09
2018,1.14,1.23,1.18,0.97,1.01,0.86,0.9,0.86,0.96,1.23,0.98,1.09,1.04,1.06,1.26,1.05,0.88,1.06
2019,1.2,1.12,1.54,1.25,0.99,1.2,1.03,1.09,1.22,1.32,1.21,***,***,1.19,1.14,1.26,1.11,1.25
